TrackID,Predictor
199814_122375,1
199814_189043,1
199814_122429,1
199814_52519,0
199814_232332,0
199814_262193,0
199812_276940,1
199812_142408,1
199812_130023,1
199812_29189,0
199812_223706,0
199812_211361,0
199826_48808,1
199826_223958,1
199826_179298,1
199826_5121,0
199826_31975,0
199826_38775,0
199818_141875,1
199818_290905,1
199818_59789,1
199818_283698,0
199818_106788,0
199818_235999,0
199822_47402,1
199822_21317,1
199822_185734,1
199822_92685,0
199822_110099,0
199822_33495,0
199823_21593,1
199823_132124,1
199823_170625,1
199823_30365,0
199823_143570,0
199823_254625,0
199810_208019,1
199810_9903,1
199810_242681,1
199810_18515,0
199810_105760,0
199810_74139,0
199817_83722,1
199817_200166,1
199817_148603,1
199817_88745,0
199817_144775,0
199817_222966,0
199819_202308,1
199819_36793,1
199819_247549,1
199819_214280,0
199819_123424,0
199819_193003,0
199820_235240,1
199820_292341,1
199820_126082,1
199820_142163,0
199820_20067,0
199820_286335,0
199816_274758,1
199816_183464,1
199816_23616,1
199816_81699,0
199816_46627,0
199816_102153,0
199827_92599,1
199827_75369,1
199827_184197,1
199827_183841,0
199827_197936,0
199827_138391,0
199813_188441,1
199813_20968,1
199813_21571,1
199813_79640,0
199813_184173,0
199813_111874,0
199821_231569,1
199821_51933,1
199821_16949,1
199821_34642,0
199821_229894,0
199821_42811,0
199824_281826,1
199824_253265,1
199824_48891,1
199824_33980,0
199824_207963,0
199824_126528,0
199830_36027,1
199830_29249,1
199830_221237,1
199830_123579,0
199830_19694,0
199830_255036,0
199815_64345,1
199815_118841,1
199815_275682,1
199815_30062,0
199815_258473,0
199815_129866,0
199845_189985,1
199845_31440,1
199845_169945,1
199845_95594,0
199845_238400,0
199845_100669,0
199839_266143,1
199839_291820,1
199839_196470,1
199839_263222,0
199839_225097,0
199839_7477,0
199847_44444,1
199847_39446,1
199847_282901,1
199847_63072,0
199847_19595,0
199847_127769,0
199863_222604,1
199863_126413,1
199863_144718,1
199863_241999,0
199863_184020,0
199863_249930,0
199861_192584,1
199861_56525,1
199861_94381,1
199861_249701,0
199861_127111,0
199861_77154,0
199844_77700,1
199844_138272,1
199844_140229,1
199844_43472,0
199844_118108,0
199844_81165,0
199838_6143,1
199838_24607,1
199838_95726,1
199838_46697,0
199838_256209,0
199838_266780,0
199853_54037,1
199853_89981,1
199853_256134,1
199853_213546,0
199853_222196,0
199853_161111,0
199873_8379,1
199873_217580,1
199873_65230,1
199873_65855,0
199873_241597,0
199873_187050,0
199846_273378,1
199846_19705,1
199846_20499,1
199846_101984,0
199846_214726,0
199846_61792,0
199858_142462,1
199858_255065,1
199858_85596,1
199858_269486,0
199858_30595,0
199858_37731,0
199880_266143,1
199880_224615,1
199880_154327,1
199880_14107,0
199880_22640,0
199880_133341,0
199876_257097,1
199876_277360,1
199876_69317,1
199876_47894,0
199876_102449,0
199876_267088,0
199859_22400,1
199859_105128,1
199859_2877,1
199859_51667,0
199859_289911,0
199859_17,0
199854_226277,1
199854_92910,1
199854_214592,1
199854_20999,0
199854_154755,0
199854_228397,0
199890_114634,1
199890_151926,1
199890_190001,1
199890_286440,0
199890_48289,0
199890_141713,0
199862_80123,1
199862_108161,1
199862_179298,1
199862_280411,0
199862_196729,0
199862_225847,0
199899_30902,1
199899_54300,1
199899_46394,1
199899_236744,0
199899_40880,0
199899_210352,0
199882_146575,1
199882_109824,1
199882_125958,1
199882_79309,0
199882_42782,0
199882_192238,0
199896_175151,1
199896_101756,1
199896_222456,1
199896_183890,0
199896_42748,0
199896_59296,0
199866_142729,1
199866_117929,1
199866_252600,1
199866_125126,0
199866_46889,0
199866_291314,0
199891_32135,1
199891_244657,1
199891_117789,1
199891_45103,0
199891_280110,0
199891_279606,0
199911_152843,1
199911_23252,1
199911_170920,1
199911_21878,0
199911_50179,0
199911_229538,0
199912_252021,1
199912_125831,1
199912_233293,1
199912_286721,0
199912_87357,0
199912_188926,0
199886_134307,1
199886_255399,1
199886_155743,1
199886_151269,0
199886_200432,0
199886_87913,0
199855_69487,1
199855_24631,1
199855_277150,1
199855_4836,0
199855_252693,0
199855_50032,0
199868_24085,1
199868_80589,1
199868_79604,1
199868_218286,0
199868_257899,0
199868_122067,0
199902_111243,1
199902_124466,1
199902_263958,1
199902_249140,0
199902_298,0
199902_127445,0
199895_195551,1
199895_69797,1
199895_59891,1
199895_249919,0
199895_229468,0
199895_276415,0
199907_64481,1
199907_61826,1
199907_54636,1
199907_52391,0
199907_172050,0
199907_78355,0
199894_279067,1
199894_15811,1
199894_250006,1
199894_31746,0
199894_251949,0
199894_9592,0
199900_219739,1
199900_287949,1
199900_23822,1
199900_44210,0
199900_261886,0
199900_110099,0
199884_36155,1
199884_5444,1
199884_150640,1
199884_155463,0
199884_247800,0
199884_152366,0
199931_140334,1
199931_90442,1
199931_161183,1
199931_242657,0
199931_149874,0
199931_122518,0
199920_237580,1
199920_138590,1
199920_247578,1
199920_144100,0
199920_106344,0
199920_77933,0
199914_137479,1
199914_94531,1
199914_295555,1
199914_262472,0
199914_78278,0
199914_284745,0
199915_118642,1
199915_252839,1
199915_232361,1
199915_11535,0
199915_266171,0
199915_29554,0
199918_251164,1
199918_114265,1
199918_138333,1
199918_150958,0
199918_242417,0
199918_103426,0
199941_135759,1
199941_220067,1
199941_191060,1
199941_45668,0
199941_92843,0
199941_261128,0
199924_108161,1
199924_16078,1
199924_120535,1
199924_54651,0
199924_49904,0
199924_62568,0
199921_48891,1
199921_175928,1
199921_143902,1
199921_95242,0
199921_198864,0
199921_76816,0
199937_20538,1
199937_151964,1
199937_171735,1
199937_163166,0
199937_95326,0
199937_270004,0
199928_137693,1
199928_87125,1
199928_171481,1
199928_251278,0
199928_65142,0
199928_215837,0
199926_180224,1
199926_73940,1
199926_44783,1
199926_139444,0
199926_41368,0
199926_142473,0
199958_248267,1
199958_202112,1
199958_7740,1
199958_263828,0
199958_37057,0
199958_43391,0
199939_111062,1
199939_223859,1
199939_165847,1
199939_245574,0
199939_171700,0
199939_12922,0
199961_72011,1
199961_85844,1
199961_17790,1
199961_12010,0
199961_203948,0
199961_44094,0
199944_67182,1
199944_281157,1
199944_18733,1
199944_166911,0
