TrackID,Predictor
199816_274758,0
199816_46627,0
199816_183464,0
199816_23616,1
199816_81699,1
199816_102153,1
199812_276940,0
199812_211361,0
199812_223706,0
199812_29189,1
199812_142408,1
199812_130023,1
199814_262193,0
199814_122375,0
199814_232332,0
199814_52519,1
199814_122429,1
199814_189043,1
199818_59789,0
199818_235999,0
199818_141875,0
199818_283698,1
199818_290905,1
199818_106788,1
199810_18515,0
199810_242681,0
199810_74139,0
199810_105760,1
199810_208019,1
199810_9903,1
199817_88745,0
199817_148603,0
199817_222966,0
199817_144775,1
199817_83722,1
199817_200166,1
199813_21571,0
199813_188441,0
199813_184173,0
199813_20968,1
199813_111874,1
199813_79640,1
199819_247549,0
199819_202308,0
199819_123424,0
199819_36793,1
199819_214280,1
199819_193003,1
199821_42811,0
199821_231569,0
199821_34642,0
199821_51933,1
199821_16949,1
199821_229894,1
199826_179298,0
199826_48808,0
199826_31975,0
199826_5121,1
199826_38775,1
199826_223958,1
199823_143570,0
199823_132124,0
199823_30365,0
199823_254625,1
199823_21593,1
199823_170625,1
199822_92685,0
199822_185734,0
199822_47402,0
199822_21317,1
199822_110099,1
199822_33495,1
199824_126528,0
199824_253265,0
199824_207963,0
199824_33980,1
199824_48891,1
199824_281826,1
199820_126082,0
199820_286335,0
199820_235240,0
199820_142163,1
199820_20067,1
199820_292341,1
199838_95726,0
199838_46697,0
199838_266780,0
199838_6143,1
199838_256209,1
199838_24607,1
199830_19694,0
199830_255036,0
199830_123579,0
199830_29249,1
199830_36027,1
199830_221237,1
199839_7477,0
199839_225097,0
199839_263222,0
199839_291820,1
199839_196470,1
199839_266143,1
199845_189985,0
199845_95594,0
199845_238400,0
199845_100669,1
199845_169945,1
199845_31440,1
199827_184197,0
199827_92599,0
199827_75369,0
199827_183841,1
199827_138391,1
199827_197936,1
199846_19705,0
199846_214726,0
199846_61792,0
199846_273378,1
199846_101984,1
199846_20499,1
199847_44444,0
199847_19595,0
199847_39446,0
199847_63072,1
199847_127769,1
199847_282901,1
199853_89981,0
199853_222196,0
199853_161111,0
199853_213546,1
199853_54037,1
199853_256134,1
199855_69487,0
199855_277150,0
199855_252693,0
199855_50032,1
199855_24631,1
199855_4836,1
199859_51667,0
199859_17,0
199859_22400,0
199859_2877,1
199859_105128,1
199859_289911,1
199861_56525,0
199861_192584,0
199861_127111,0
199861_249701,1
199861_77154,1
199861_94381,1
199844_77700,0
199844_140229,0
199844_118108,0
199844_43472,1
199844_81165,1
199844_138272,1
199863_241999,0
199863_126413,0
199863_249930,0
199863_222604,1
199863_184020,1
199863_144718,1
199862_108161,0
199862_196729,0
199862_80123,0
199862_225847,1
199862_280411,1
199862_179298,1
199868_122067,0
199868_218286,0
199868_24085,0
199868_80589,1
199868_79604,1
199868_257899,1
199873_217580,0
199873_65855,0
199873_241597,0
199873_65230,1
199873_187050,1
199873_8379,1
199866_125126,0
199866_142729,0
199866_117929,0
199866_252600,1
199866_291314,1
199866_46889,1
199854_228397,0
199854_226277,0
199854_154755,0
199854_20999,1
199854_214592,1
199854_92910,1
199880_22640,0
199880_133341,0
199880_154327,0
199880_266143,1
199880_14107,1
199880_224615,1
199815_129866,0
199815_64345,0
199815_258473,0
199815_30062,1
199815_118841,1
199815_275682,1
199876_267088,0
199876_69317,0
199876_257097,0
199876_47894,1
199876_102449,1
199876_277360,1
199890_48289,0
199890_286440,0
199890_141713,0
199890_114634,1
199890_151926,1
199890_190001,1
199884_5444,0
199884_36155,0
199884_152366,0
199884_150640,1
199884_155463,1
199884_247800,1
199886_200432,0
199886_155743,0
199886_134307,0
199886_151269,1
199886_87913,1
199886_255399,1
199891_117789,0
199891_280110,0
199891_45103,0
199891_279606,1
199891_32135,1
199891_244657,1
199894_9592,0
199894_251949,0
199894_15811,0
199894_250006,1
199894_279067,1
199894_31746,1
199895_249919,0
199895_195551,0
199895_59891,0
199895_276415,1
199895_229468,1
199895_69797,1
199899_40880,0
199899_236744,0
199899_46394,0
199899_54300,1
199899_30902,1
199899_210352,1
199882_125958,0
199882_109824,0
199882_42782,0
199882_192238,1
199882_146575,1
199882_79309,1
199900_261886,0
199900_219739,0
199900_110099,0
199900_23822,1
199900_44210,1
199900_287949,1
199902_249140,0
199902_111243,0
199902_127445,0
199902_298,1
199902_124466,1
199902_263958,1
199896_101756,0
199896_42748,0
199896_175151,0
199896_59296,1
199896_222456,1
199896_183890,1
199907_78355,0
199907_52391,0
199907_172050,0
199907_64481,1
199907_54636,1
199907_61826,1
199911_152843,0
199911_170920,0
199911_21878,0
199911_23252,1
199911_229538,1
199911_50179,1
199912_87357,0
199912_188926,0
199912_286721,0
199912_233293,1
199912_252021,1
199912_125831,1
199914_78278,0
199914_262472,0
199914_284745,0
199914_295555,1
199914_94531,1
199914_137479,1
199924_108161,0
199924_120535,0
199924_16078,0
199924_62568,1
199924_49904,1
199924_54651,1
199918_242417,0
199918_103426,0
199918_251164,0
199918_150958,1
199918_114265,1
199918_138333,1
199915_252839,0
199915_232361,0
199915_266171,0
199915_29554,1
199915_11535,1
199915_118642,1
199926_41368,0
199926_180224,0
199926_142473,0
199926_44783,1
199926_73940,1
199926_139444,1
199921_76816,0
199921_143902,0
199921_95242,0
199921_198864,1
199921_175928,1
199921_48891,1
199928_137693,0
199928_87125,0
199928_171481,0
199928_251278,1
199928_65142,1
199928_215837,1
