TrackID,Predictor
204529_205094,1
204529_251796,1
204529_42375,1
204529_18858,0
204529_17184,0
204529_251349,0
204523_213259,1
204523_243233,1
204523_15776,1
204523_271951,0
204523_244947,0
204523_74106,0
204508_238104,1
204508_14421,1
204508_287079,1
204508_36186,0
204508_31902,0
204508_92728,0
204522_73301,1
204522_2815,1
204522_232828,1
204522_133594,0
204522_65624,0
204522_36112,0
204492_36048,1
204492_169293,1
204492_75469,1
204492_212207,0
204492_144758,0
204492_116439,0
204534_181408,1
204534_189306,1
204534_130097,1
204534_78355,0
204534_56145,0
204534_202385,0
204510_185112,1
204510_62811,1
204510_81539,1
204510_92872,0
204510_264826,0
204510_207449,0
204483_113224,1
204483_96679,1
204483_558,1
204483_175235,0
204483_169428,0
204483_34658,0
204536_104584,1
204536_156135,1
204536_229894,1
204536_228343,0
204536_187847,0
204536_118946,0
204525_268877,1
204525_269998,1
204525_250988,1
204525_168636,0
204525_130523,0
204525_52077,0
204497_20992,1
204497_221324,1
204497_133194,1
204497_224735,0
204497_92482,0
204497_235934,0
204516_207451,1
204516_102597,1
204516_191403,1
204516_122096,0
204516_164423,0
204516_74072,0
204504_64999,1
204504_48370,1
204504_220488,1
204504_226201,0
204504_188703,0
204504_152843,0
204481_264667,1
204481_74142,1
204481_127221,1
204481_30742,0
204481_174747,0
204481_85530,0
204550_104290,1
204550_186507,1
204550_3569,1
204550_182736,0
204550_23126,0
204550_55013,0
204489_287338,1
204489_211824,1
204489_9773,1
204489_174481,0
204489_4845,0
204489_177267,0
204486_65402,1
204486_156205,1
204486_225908,1
204486_105816,0
204486_246600,0
204486_264668,0
204549_154274,1
204549_183243,1
204549_159689,1
204549_67051,0
204549_50229,0
204549_55248,0
204545_19115,1
204545_38168,1
204545_102550,1
204545_46347,0
204545_140360,0
204545_56483,0
204511_82260,1
204511_118737,1
204511_18261,1
204511_213876,0
204511_215889,0
204511_3054,0
204496_226320,1
204496_103080,1
204496_9858,1
204496_126274,0
204496_22870,0
204496_31945,0
204535_260757,1
204535_172614,1
204535_295687,1
204535_42770,0
204535_284381,0
204535_125690,0
204544_66439,1
204544_291102,1
204544_26279,1
204544_217825,0
204544_73,0
204544_55417,0
204554_184166,1
204554_182581,1
204554_266022,1
204554_255916,0
204554_68358,0
204554_256008,0
204561_17790,1
204561_123687,1
204561_185689,1
204561_251785,0
204561_292306,0
204561_180875,0
204548_233221,1
204548_69954,1
204548_104109,1
204548_101199,0
204548_102597,0
204548_274058,0
204555_92591,1
204555_172006,1
204555_17348,1
204555_239619,0
204555_90219,0
204555_72812,0
204557_33628,1
204557_236066,1
204557_238215,1
204557_46343,0
204557_42666,0
204557_293353,0
204568_166240,1
204568_259246,1
204568_28974,1
204568_171358,0
204568_32262,0
204568_11535,0
204551_80454,1
204551_261695,1
204551_268462,1
204551_152867,0
204551_124372,0
204551_109884,0
204580_270301,1
204580_272547,1
204580_187158,1
204580_44677,0
204580_281826,0
204580_128924,0
204537_163570,1
204537_283588,1
204537_182009,1
204537_110067,0
204537_143164,0
204537_289543,0
204587_226765,1
204587_45093,1
204587_141772,1
204587_112339,0
204587_258965,0
204587_212938,0
204609_170344,1
204609_72875,1
204609_138156,1
204609_86340,0
204609_214851,0
204609_248267,0
204577_87512,1
204577_238389,1
204577_277311,1
204577_50721,0
204577_205294,0
204577_131241,0
204575_55412,1
204575_13791,1
204575_167292,1
204575_45093,0
204575_272907,0
204575_6039,0
204573_101868,1
204573_9852,1
204573_111874,1
204573_161617,0
204573_141058,0
204573_161373,0
204586_124967,1
204586_72387,1
204586_81216,1
204586_3569,0
204586_226889,0
204586_199071,0
204593_108183,1
204593_24631,1
204593_155592,1
204593_21293,0
204593_228692,0
204593_229309,0
204619_130807,1
204619_117071,1
204619_278923,1
204619_57222,0
204619_80165,0
204619_44312,0
204588_93973,1
204588_135348,1
204588_223164,1
204588_236906,0
204588_6876,0
204588_269975,0
204614_74142,1
204614_34829,1
204614_72179,1
204614_96397,0
204614_132263,0
204614_278879,0
204569_99812,1
204569_156375,1
204569_115753,1
204569_195922,0
204569_284211,0
204569_150712,0
204612_72875,1
204612_179048,1
204612_16669,1
204612_132263,0
204612_102306,0
204612_76964,0
204598_107493,1
204598_68469,1
204598_179152,1
204598_151458,0
204598_206878,0
204598_259101,0
204572_187377,1
204572_220973,1
204572_198317,1
204572_208220,0
204572_94020,0
204572_273976,0
204599_27573,1
204599_216497,1
204599_210926,1
204599_96430,0
204599_220864,0
204599_47420,0
204604_77767,1
204604_153474,1
204604_193272,1
204604_116320,0
204604_59009,0
204604_65112,0
204625_273540,1
204625_158684,1
204625_105290,1
204625_212170,0
204625_41017,0
204625_43443,0
204618_204836,1
204618_236883,1
204618_102452,1
204618_281521,0
204618_137794,0
204618_80308,0
204624_273264,1
204624_137128,1
204624_209878,1
204624_140692,0
204624_159936,0
204624_105449,0
204632_221740,1
204632_30408,1
204632_286228,1
204632_62385,0
204632_80016,0
204632_5207,0
204646_234157,1
204646_255065,1
204646_177205,1
204646_194256,0
204646_169117,0
204646_103870,0
204623_19780,1
204623_3996,1
204623_36728,1
204623_137371,0
204623_256232,0
204623_161568,0
204634_94419,1
204634_170175,1
204634_204950,1
204634_295130,0
204634_97245,0
204634_204859,0
204613_94339,1
204613_276490,1
204613_52855,1
204613_31136,0
204613_222780,0
204613_55219,0
204645_214272,1
204645_3860,1
204645_295528,1
204645_161898,0
204645_222088,0
204645_50350,0
204629_242097,1
204629_63795,1
204629_182794,1
204629_1618,0
204629_40093,0
204629_99683,0
204652_175274,1
204652_259675,1
204652_98317,1
204652_7873,0
204652_97179,0
204652_123937,0
204641_183047,1
204641_140802,1
204641_294400,1
204641_115679,0
204641_97487,0
204641_81428,0
204649_151693,1
204649_138040,1
204649_125284,1
204649_16879,0
204649_266896,0
204649_201169,0
204620_150387,1
204620_91334,1
204620_227801,1
204620_225964,0
204620_185497,0
204620_280830,0
204660_200381,1
204660_171007,1
204660_43783,1
204660_3109,0
204660_132415,0
204660_3687,0
204654_74714,1
204654_231206,1
204654_45410,1
204654_246114,0
204654_159155,0
204654_204992,0
204650_253486,1
204650_99942,1
204650_58443,1
204650_256424,0
204650_196345,0
204650_194991,0
204663_110918,1
204663_63471,1
204663_34407,1
204663_276119,0
204663_213755,0
204663_259089,0
204640_143670,1
204640_52767,1
204640_98525,1
204640_49084,0
204640_149658,0
204640_286035,0
204636_108780,1
204636_273201,1
204636_74714,1
204636_15951,0
204636_106962,0
204636_167030,0
204666_162905,1
204666_57671,1
204666_182410,1
204666_101002,0
204666_20726,0
204666_53767,0
204642_243850,1
204642_48253,1
204642_22340,1
204642_269199,0
204642_215809,0
204642_271459,0
204657_108546,1
204657_27428,1
204657_1651,1
204657_133594,0
204657_118162,0
204657_215433,0
204665_234884,1
204665_33983,1
204665_167301,1
204665_261070,0
204665_29600,0
204665_191995,0
204667_193883,1
204667_154383,1
204667_111014,1
204667_138963,0
204667_247347,0
204667_290591,0
204683_198826,1
204683_97728,1
204683_4928,1
204683_56334,0
204683_269065,0
204683_211191,0
204697_239591,1
204697_13495,1
204697_98748,1
204697_209630,0
204697_38543,0
204697_210865,0
204671_295639,1
204671_283708,1
204671_170344,1
204671_218238,0
204671_51996,0
204671_43783,0
204691_245157,1
204691_149826,1
204691_4948,1
204691_145437,0
204691_222763,0
204691_1743,0
204698_34188,1
204698_252416,1
204698_254384,1
204698_42331,0
204698_200132,0
204698_163933,0
204696_225414,1
204696_28391,1
204696_100747,1
204696_111501,0
204696_255048,0
204696_154473,0
204672_236256,1
204672_131564,1
204672_104295,1
204672_158912,0
204672_249930,0
204672_6681,0
204687_14660,1
204687_34084,1
204687_107923,1
204687_226439,0
204687_26131,0
204687_61034,0
204668_225091,1
204668_59291,1
204668_97676,1
204668_63776,0
204668_128960,0
204668_187074,0
204682_86653,1
204682_149658,1
204682_13095,1
204682_231992,0
204682_11545,0
204682_54892,0
204675_199937,1
204675_166,1
204675_161617,1
204675_143049,0
204675_247800,0
204675_80454,0
204677_294233,1
204677_63737,1
204677_224892,1
204677_34031,0
204677_110191,0
204677_157023,0
204676_142411,1
204676_187940,1
204676_263909,1
204676_288091,0
204676_185815,0
204676_2236,0
204712_277207,1
204712_26023,1
204712_165044,1
204712_65495,0
204712_260175,0
204712_72225,0
204711_27174,1
204711_95726,1
204711_163281,1
204711_157328,0
204711_16533,0
204711_140410,0
204674_232269,1
204674_112781,1
204674_6629,1
204674_281826,0
204674_264901,0
204674_248024,0
204699_252601,1
204699_265026,1
204699_271070,1
204699_271416,0
204699_17810,0
204699_126189,0
204721_88858,1
204721_104295,1
204721_187787,1
204721_54983,0
204721_33680,0
204721_8247,0
204704_157784,1
204704_46992,1
204704_273883,1
204704_198164,0
204704_26068,0
204704_271904,0
204731_159637,1
204731_246022,1
204731_59177,1
204731_96700,0
204731_109393,0
204731_273904,0
204733_204472,1
204733_125110,1
204733_135169,1
204733_220024,0
204733_205160,0
204733_295230,0
204722_193857,1
204722_255059,1
204722_150313,1
204722_85006,0
204722_202999,0
204722_13393,0
204706_229504,1
204706_51216,1
204706_197465,1
204706_98777,0
204706_206260,0
204706_275379,0
204709_52490,1
204709_49206,1
204709_248391,1
204709_225974,0
204709_89612,0
204709_120561,0
204723_26956,1
204723_158884,1
204723_121859,1
204723_196938,0
204723_188639,0
204723_156827,0
204736_246745,1
204736_6173,1
204736_169496,1
204736_168641,0
204736_46889,0
204736_23469,0
204727_140692,1
204727_32288,1
204727_44380,1
204727_183307,0
204727_141295,0
204727_128470,0
204728_207656,1
204728_118274,1
204728_141771,1
204728_109803,0
204728_37785,0
204728_125198,0
204707_289451,1
204707_1108,1
204707_230763,1
204707_133778,0
204707_50721,0
204707_91859,0
204735_100384,1
204735_194010,1
204735_43879,1
204735_294056,0
204735_70788,0
204735_250601,0
204743_257430,1
204743_186515,1
204743_229894,1
204743_237679,0
204743_264668,0
204743_122622,0
204747_47642,1
204747_144251,1
204747_88958,1
204747_26561,0
204747_87156,0
204747_65484,0
204753_166980,1
204753_134160,1
204753_52855,1
204753_248136,0
204753_198890,0
204753_201981,0
204748_214766,1
204748_8565,1
204748_147523,1
204748_213431,0
204748_139350,0
204748_230489,0
204757_6548,1
204757_139135,1
204757_166608,1
204757_88191,0
204757_43956,0
204757_24878,0
204744_26537,1
204744_193774,1
204744_70613,1
204744_15972,0
204744_46767,0
204744_48386,0
204759_277961,1
204759_251253,1
204759_279521,1
204759_121727,0
204759_57380,0
204759_22940,0
204772_13495,1
204772_281016,1
204772_46063,1
204772_250273,0
204772_120535,0
204772_245995,0
204755_50411,1
204755_195857,1
204755_111748,1
204755_171306,0
204755_216319,0
204755_219794,0
204739_49880,1
204739_123520,1
204739_230477,1
204739_80142,0
204739_267309,0
204739_105360,0
204732_238633,1
204732_267275,1
204732_87448,1
204732_138355,0
204732_253265,0
204732_152825,0
204749_29397,1
204749_233267,1
204749_203206,1
204749_2872,0
204749_248580,0
204749_123367,0
204754_33495,1
204754_86355,1
204754_165140,1
204754_124109,0
204754_254051,0
204754_88104,0
204762_105828,1
204762_164658,1
204762_267471,1
204762_191565,0
204762_267064,0
204762_274942,0
204760_268900,1
204760_122370,1
204760_162173,1
204760_231282,0
204760_15398,0
204760_91150,0
204774_274209,1
204774_283814,1
204774_26097,1
204774_136337,0
204774_59211,0
204774_27090,0
204768_258252,1
204768_197409,1
204768_31731,1
204768_149229,0
204768_171077,0
204768_169786,0
204756_175124,1
204756_96679,1
204756_287096,1
204756_130005,0
204756_124632,0
204756_159307,0
204791_167345,1
204791_150469,1
204791_121824,1
204791_55244,0
204791_252803,0
204791_258652,0
204778_72875,1
204778_34829,1
204778_295050,1
204778_98878,0
204778_100687,0
204778_221201,0
204779_214776,1
204779_60943,1
204779_166373,1
204779_65989,0
204779_189055,0
204779_241199,0
204790_267205,1
204790_219318,1
204790_122086,1
204790_43564,0
204790_200260,0
204790_269551,0
204802_85485,1
204802_146570,1
204802_47591,1
204802_269647,0
204802_104207,0
204802_44684,0
204783_263249,1
204783_194771,1
204783_151596,1
204783_91604,0
204783_52853,0
204783_269171,0
204740_185629,1
204740_61145,1
204740_196755,1
204740_72875,0
204740_121386,0
204740_44889,0
204775_69661,1
204775_247020,1
204775_20387,1
204775_141058,0
204775_177436,0
204775_15875,0
204807_5207,1
204807_74296,1
204807_264901,1
204807_249195,0
204807_182596,0
204807_121881,0
204811_73818,1
204811_150748,1
204811_279398,1
204811_167440,0
204811_72878,0
204811_138546,0
204816_207234,1
204816_71099,1
204816_286426,1
204816_88839,0
204816_65232,0
204816_133302,0
204785_66383,1
204785_83900,1
204785_13684,1
204785_290248,0
204785_39854,0
204785_114880,0
204787_164683,1
204787_167443,1
204787_210679,1
204787_91721,0
204787_224885,0
204787_207656,0
204813_88999,1
204813_184670,1
204813_74464,1
204813_79525,0
204813_150193,0
204813_223734,0
204805_247777,1
204805_271783,1
204805_261695,1
204805_66025,0
204805_217591,0
204805_72300,0
204777_92770,1
204777_23241,1
204777_268716,1
204777_194694,0
204777_41583,0
204777_186683,0
204823_16686,1
204823_127596,1
204823_14275,1
204823_58283,0
204823_294653,0
204823_17790,0
204808_108554,1
204808_230856,1
204808_128649,1
204808_118920,0
204808_59009,0
204808_295516,0
204810_137485,1
204810_294821,1
