,id,label,alma,field,award,occupation
0,Q75778,Joseph Weizenbaum,'Wayne State University','computer science',"'The VIZE 97 Prize', ""Commander's Cross of the Order of Merit of the Federal Republic of Germany"", 'Norbert Wiener Award for Social and Professional Responsibility'",artificial intelligence researcher
1,Q92809,Rodney Brooks,"'Flinders University', 'Stanford University'",,"'AAAS Fellow', 'IJCAI Computers and Thought Award', 'ACM Fellow', 'AAAI Fellow', 'AAAS Fellow', 'Fellow of the Australian Academy of Science', 'Corresponding Member of the Australian Academy of Science'",artificial intelligence researcher
2,Q108175,Thomas Wiegand,"'Hamburg University of Technology', 'University of Erlangen-Nuremberg'",,"'IEEE Fellow', 'IEEE Masaru Ibuka Consumer Electronics Award', 'Primetime Emmy Award', 'Forschungspreis Technische Kommunikation', 'Karl Heinz Beckurts Award', 'Q42433243'",artificial intelligence researcher
3,Q204815,Marvin Minsky,"'Harvard University', 'Princeton University', 'Harvard College', 'The Bronx High School of Science', 'Phillips Academy', 'Ethical Culture Fieldston School'","'artificial intelligence', 'computer science', 'philosophy of mind', 'cognitive science'","'Turing Award', 'Benjamin Franklin Medal', 'Japan Prize', 'Dan David Prize', 'R. W. Wood Prize', 'Computer Pioneer Award', 'Harvard Society of Fellows', 'IJCAI Award for Research Excellence', 'BBVA Foundation Frontiers of Knowledge Award', 'doctor honoris causa', 'AAAI Fellow', 'honorary doctor of the Université libre de Bruxelles', 'Computer History Museum fellow', 'honorary doctorate of the Vrije Universiteit Brussel', 'Fellow of the Cognitive Science Society', 'Fellow of the Committee for Skeptical Inquiry'",artificial intelligence researcher
4,Q92739,John McCarthy,"'Princeton University', 'California Institute of Technology', 'Belmont High School'",'artificial intelligence',"'Turing Award', 'Kyoto Prize', 'National Medal of Science', 'Benjamin Franklin Medal', 'Computer Pioneer Award', 'IJCAI Award for Research Excellence', 'Kyoto Prize in Advanced Technology', 'ACM Fellow', 'AAAI Fellow', 'Computer History Museum fellow', 'Programming Languages Achievement Award', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
5,Q344775,David Levy,'Maastricht University',,,artificial intelligence researcher
6,Q224372,I. J. Good,"'University of Cambridge', 'Jesus College', ""Haberdashers' Aske's Boys' School""","'cosmology', 'cryptography', 'statistics'","""Smith's Prize"", 'Computer Pioneer Award', 'Fellow of the American Statistical Association'",artificial intelligence researcher
7,Q3123640,Ray Solomonoff,'Glenville High School',,,artificial intelligence researcher
8,Q4145096,Vladimir Gorodetski,,'artificial intelligence',,artificial intelligence researcher
9,Q92716,Bernhard Nebel,"'University of Hamburg', 'Saarland University'",,'AAAI Fellow',artificial intelligence researcher
10,Q295012,John Searle,"'Christ Church', 'University of Wisconsin–Madison', 'Shorewood High School'","'philosophy of mind', 'philosophy of language'","'Jean Nicod Prize', 'Rhodes Scholarship', 'Guggenheim Fellowship', 'National Humanities Medal', 'Albertus-Magnus professorate', 'Jovellanos International Essay Award', 'AAAS Fellow'",artificial intelligence researcher
11,Q92890,Richard Wallace,'Carnegie Mellon University','artificial intelligence',,artificial intelligence researcher
12,Q92826,Terry Winograd,"'Massachusetts Institute of Technology', 'Colorado College'",'computer science',"'IJCAI Computers and Thought Award', 'ACM Fellow'",artificial intelligence researcher
13,Q92699,Dieter Fox,'University of Bonn',,,artificial intelligence researcher
14,Q92686,David H. D. Warren,'University of Edinburgh',,,artificial intelligence researcher
15,Q92646,John Henry Holland,"'Massachusetts Institute of Technology', 'University of Michigan', 'University of Michigan College of Literature, Science, and the Arts'",,"'MacArthur Fellows Program', 'Harold Pender Award'",artificial intelligence researcher
16,Q92965,Aravind Joshi,"'University of Pennsylvania', 'Indian Institute of Science'",'computational linguistics',"'IEEE Fellow', 'Benjamin Franklin Medal', 'Guggenheim Fellowship', 'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow', 'Fellow of the Association for Computational Linguistics', 'Fellow of the Cognitive Science Society'",artificial intelligence researcher
